Invoice_ID,Branch,City,Customer_Type,Gender,Product_Category,Unit_Price,Quantity,Total,Date,Time,Payment,Rating
SLM-100001,Galle,Galle,Member,Male,Household,584.33,5,2629.49,2026-02-15,21:51,Cash,6.8
SLM-100002,Kandy,Kandy,Member,Male,Household,3170.8,3,9131.9,2026-01-14,15:55,Cash,7.7
SLM-100003,Galle,Galle,Normal,Male,Beverages,925.68,6,4998.67,2026-02-16,19:45,Card,6.7
SLM-100004,Colombo,Colombo,Member,Female,Personal Care,2521.37,6,17851.3,2026-02-17,13:40,Cash,8.0
SLM-100005,Kandy,Kandy,Member,Male,Household,1801.89,6,10378.89,2026-02-16,18:37,eZ Cash,7.9
SLM-100006,Colombo,Colombo,Member,Female,Household,746.12,2,1760.84,2026-02-17,12:48,Card,8.0
SLM-100007,Galle,Galle,Normal,Female,Food,411.35,5,1851.08,2026-01-29,17:34,Card,5.0
SLM-100008,Kandy,Kandy,Normal,Male,Food,242.25,6,1395.36,2026-01-13,15:33,eZ Cash,7.0
SLM-100009,Colombo,Colombo,Member,Female,Food,1517.07,5,8950.71,2026-01-25,16:16,eZ Cash,8.0
SLM-100010,Colombo,Colombo,Member,Male,Food,1639.17,2,3868.44,2026-01-31,15:43,Card,7.8
SLM-100011,Kandy,Kandy,Member,Male,Household,1534.43,3,4419.16,2026-01-08,10:18,eZ Cash,5.9
SLM-100012,Kandy,Kandy,Member,Female,Personal Care,1914.87,5,9191.38,2026-01-17,15:58,eZ Cash,6.0
SLM-100013,Kandy,Kandy,Member,Female,Household,877.54,2,1684.88,2026-02-15,19:18,Cash,6.5
SLM-100014,Kandy,Kandy,Normal,Male,Food,1019.93,2,1958.27,2026-01-30,09:38,Cash,8.3
SLM-100015,Colombo,Colombo,Normal,Female,Electronics,6148.49,5,36276.09,2026-01-10,14:10,Card,6.9
SLM-100016,Galle,Galle,Member,Female,Beverages,527.29,4,1898.24,2026-02-18,20:09,Cash,4.4
SLM-100017,Kandy,Kandy,Member,Male,Food ,1849.11,2,3550.29,2026-01-19,19:32,Card,5.9
SLM-100018,Colombo,Colombo,Normal,Male,Personal Care,2040.13,7,16851.47,2026-01-14,10:36,Card,5.9
SLM-100019,Colombo,Colombo,Normal,Male,Food,2104.86,5,12418.67,2026-03-01,13:48,Cash,7.1
SLM-100020,Colombo,Colombo,Member,Female,Electronics,8633.42,7,71312.05,2026-02-23,17:50,Cash,7.6
SLM-100021,Galle,Galle,Normal,Male,Food,1688.52,1,1519.67,2026-02-26,13:22,Cash,5.4
SLM-100022,Galle,Galle,Member,Female,Household,3354.7,2,6038.46,2026-01-19,12:10,eZ Cash,8.0
SLM-100023,Kandy,Kandy,Member,Female,Food,446.28,7,2999.0,2026-01-08,17:00,Card,7.1
SLM-100024,Kandy,Kandy,Member,Female,Household,2873.39,3,8275.36,2026-01-08,11:48,Cash,7.8
SLM-100025,Colombo,Colombo,Normal,Female,Electronics,3791.57,3,13422.16,2026-01-09,20:39,Cash,7.5
SLM-100026,Colombo,Colombo,Member,Female,Electronics,6268.34,5,36983.21,2026-01-29,20:44,Cash,6.4
SLM-100027,Colombo,Colombo,Normal,Male,Food,1252.15,7,10342.76,2026-01-18,16:47,Cash,10.0
SLM-100028,Kandy,Kandy,Normal,Male,Personal Care,1278.43,2,2454.59,2026-02-20,12:16,Cash,5.8
SLM-100029,Colombo,Colombo,Normal,Female,Food,1845.82,2,4356.14,2026-02-25,13:55,Cash,7.8
SLM-100030,Colombo,Colombo,Member,Female,Food,532.78,4,2514.72,2026-02-18,09:01,Cash,8.5
SLM-100031,Kandy,Kandy,Normal,Male,Personal Care,285.21,2,547.6,2026-02-08,12:53,Cash,9.9
SLM-100032,Colombo,Colombo,Member,Female,Beverages,204.39,2,482.36,2026-02-25,18:06,eZ Cash,4.9
SLM-100033,Galle,Galle,Normal,Male,Personal Care,1734.81,6,9367.97,2026-01-09,18:48,Card,6.9
